,Unnamed: 0,Unnamed: 0.1,smiles,Molecular weight,Normal boiling point,Melting point,Critical temperature,Critical pressure,Critical volume,Heat of fusion,logP,Molecular refractivity
38,38,38,CC(F)(F)Cl,100.495026,264.03,142.25,410.28,4050000.0,0.000226,,1.8379,16.474
39,39,39,C(F)(Cl)(Cl)Cl,137.368103,296.85,162.35,471.1,4480000.0,0.000248,,2.2836,21.398
40,40,40,C(F)(F)(Cl)Cl,120.913506,243.35,115.15,385.0,4130000.0,0.000214,,2.0143,16.653
41,41,41,C(F)(F)(F)Cl,104.45891,191.67,92.15,301.95,3880000.0,0.00018,,1.7449999999999999,11.908
42,42,42,C(F)(F)(F)F,88.004313,145.25,89.35,227.5,3680000.0,0.000142,,1.4756999999999998,7.163
43,43,43,CCC(C)(C)C,86.17536,322.85,173.15,489.0,3100000.0,0.000358,,2.442500000000001,29.74599999999998
44,44,44,CCC(C)(C)O,88.14818,375.55,264.05,543.7,3710000.0,0.000326,,1.1673,26.58879999999999
45,45,45,C(C(F)(Cl)Cl)(F)(F)Cl,187.37561,320.75,238.15,487.2,3410000.0,0.000329,,2.9189,26.345
46,46,46,C(C(F)(F)Cl)(F)(F)Cl,170.921013,276.75,179.15,418.8,3255000.0,0.000296,,2.6495999999999995,21.6
47,47,47,C(C(F)(F)Cl)(F)(F)F,154.466416,233.95,173.75,353.0,3130000.0,0.000253,,2.3802999999999996,16.855
48,48,48,C(C(F)(F)F)(F)(F)F,138.011819,195.05,172.8,293.02,3040000.0,0.000224,,2.1109999999999998,12.110000000000005
49,49,49,CCC(C)C,72.151,300.98,113.15,460.4,3380000.0,0.000306,,2.0524,25.12899999999999
50,50,50,CC(C)CO,74.1216,380.99,165.15,547.8,4295000.0,0.000274,,0.6347,21.9238
51,51,51,CCC(C)Cl,92.56726,341.15,137.65,518.6,3951665.0,0.000305,,2.0237,25.605999999999987
52,52,52,CCC(=O)C,72.10572,352.75,186.35,536.7,4207000.0,0.000267,,0.9854,20.972
53,53,53,CC(C)C(C)C,86.17536,331.15,144.25,500.0,3150000.0,0.000361,,2.2984,29.675999999999984
54,54,54,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,178.2292,611.55,372.39,0.869,3171472.0,0.000554,116200.0,3.993000000000002,61.45400000000004
55,55,55,CCC1=CC=CC=C1O,122.1644,477.65,255.15,703.0,3700000.0,0.000388,,1.9545999999999997,37.48480000000001
56,56,56,CC1=CC=CC2=CC=CC=C12,142.1971,517.55,251.15,772.0,3600000.0,0.000479,,3.148220000000002,48.68500000000003
57,57,57,C1=CC=C2C=CC=CC2=C1,128.17052,491.15,353.35,748.4,4050000.0,0.000407,78500.0,2.839800000000001,43.94800000000003
58,58,58,C1=CC=C2C(=C1)C=CC=N2,129.15858,510.25,258.26,782.0,4750000.0,0.000382,,2.2348,41.743000000000016
59,59,59,CC1=CC2=CC=CC=C2C=C1,142.1971,514.25,306.85,761.0,3370000.0,0.000464,44900.0,3.148220000000002,48.68500000000003
60,60,60,CC1=CC=CC=C1C,106.165,417.55,248.15,630.3,3732000.0,0.00037,,2.30344,35.916
61,61,61,CC1=CC=CC=C1O,108.13782,464.15,304.65,697.6,4170000.0,0.000336,-204600.0,1.70062,32.843799999999995
62,62,62,CC1=CC(=C(C=C1)C)C,120.19158,442.55,229.25,649.1,3232000.0,0.000436,,2.611860000000001,40.65300000000001
63,63,63,CC1=C(C=C(C=C1)O)C,122.1644,500.46,336.15,729.8,4900000.0,0.000388,-242300.0,2.0090399999999997,37.5808
64,64,64,CC1=CC(=C(C=C1)C)O,122.1644,484.29,347.95,706.9,3900000.0,0.000397,-246600.0,2.00904,37.5808
65,65,65,CC1=CC(=C(C=C1C)C)C,134.21816,470.15,352.3,676.0,2900000.0,0.000489,-119900.0,2.920280000000001,45.39000000000002
66,66,66,CCC(C)CC,86.17536,336.45,155.15,504.6,3120000.0,0.000368,,2.442500000000001,29.74599999999998
67,67,67,CCC(=O)CC,86.1323,375.05,234.15,561.4,3729000.0,0.000331,,1.3755,25.588999999999988
68,68,68,CC1CCCC1,84.15948,344.95,130.65,553.8,4080000.0,0.000308,,2.1965000000000003,27.631999999999984
69,69,69,CC1CCCO1,86.1323,353.15,137.15,537.0,3760000.0,0.000267,,1.1853,24.64799999999999
70,70,70,CCC1=CC=CC=C1,106.165,409.35,178.2,617.15,3609000.0,0.000374,,2.2490000000000006,35.82
71,71,71,C1=CC=C(C=C1)CC2=CC=CC=C2,168.23438,537.35,298.25,760.0,2710000.0,0.000563,71500.0,3.277400000000002,55.69000000000003
72,72,72,CCCC1=CC=CC=C1,120.19158,432.35,173.4,638.35,3200000.0,0.00044,,2.639100000000001,40.43700000000001
73,73,73,CCCCC1=CC=CC=C1,134.21816,456.45,185.15,660.5,2890000.0,0.000497,,3.0292000000000012,45.05400000000003
74,74,74,CCC1=CC=C(C=C1)CC,134.21816,457.15,230.15,657.9,2803000.0,0.000494,,2.811400000000001,45.19800000000003
75,75,75,CCCC(C)CO,102.17476,430.15,203.2,604.4,3450000.0,0.00041,,1.4149,31.15779999999998
76,76,76,CC1=CC(=C(C=C1)O)C,122.1644,484.09,297.65,707.6,3500000.0,0.000389,,2.0090399999999997,37.5808
77,77,77,CC1=CC=C(C=C1)C,106.165,411.45,286.15,616.2,3511000.0,0.000378,,2.30344,35.916
78,78,78,CCCC,58.124,272.65,135.05,425.12,3796000.0,0.000255,,1.8064,20.582
79,79,79,CCC=C,56.10632,266.85,87.85,419.5,4020000.0,0.0002408,,1.5824,20.488
80,80,80,C=CC=C,54.09044,268.55,162.2,425.0,4320000.0,0.000221,,1.3584,20.393999999999995
81,81,81,CCC#C,54.09044,281.25,147.45,440.0,4600000.0,0.000208,,1.0295999999999998,19.124
82,82,82,C(CCl)Cl,98.95916,356.55,237.65,561.5,5380000.0,0.000225,,1.464,21.44
83,83,83,CCCN,59.11026,320.36,190.15,499.0,4740000.0,0.00023,,0.3551000000000001,19.345400000000005
84,84,84,C=CCO,58.07914,370.05,144.15,545.1,5760000.0,0.000222,,0.1647,17.2828
85,85,85,CCCC(C)C,86.178,333.36,119.15,497.7,3040000.0,0.000368,,2.442500000000001,29.74599999999998
86,86,86,CCCC(=O)C,86.1323,375.35,195.15,561.1,3683000.0,0.000321,,1.3755,25.588999999999988
87,87,87,CC(C)CC(C)C,100.20194,353.55,153.25,519.8,2740000.0,0.000418,,2.6885000000000012,34.292999999999985
88,88,88,CC(C)CC(=O)C,100.15888,388.85,189.15,574.6,3270000.0,0.000378,-381500.0,1.6215,30.13599999999998
89,89,89,CC(C)CC(C)O,102.17476,405.15,183.15,574.4,3649727.0,0.000389,,1.4133,31.135799999999985
90,90,90,CC1=CC(=CC=C1)C,106.165,412.25,225.35,617.0,3541000.0,0.000375,,2.30344,35.916000000000004
91,91,91,CC1=CC(=CC=C1)O,108.13782,475.35,284.95,705.8,4360000.0,0.000337,,1.7006199999999996,32.843799999999995
92,92,92,CC1=CC(=NC=C1)C,107.15306,431.55,211.15,647.0,3950000.0,0.000357,,1.69844,33.71099999999999
93,93,93,CC1=NC(=CC=C1)C,107.15306,417.15,267.05,624.0,3850000.0,0.000357,,1.69844,33.71099999999999
94,94,94,CC1=CC(=CC(=C1)C)C,120.19158,437.85,228.15,637.3,3127000.0,0.000435,,2.611860000000001,40.65300000000001
95,95,95,CC1=CC(=CC(=C1)O)C,122.1644,494.86,336.55,715.6,3800000.0,0.000396,-244400.0,2.0090399999999997,37.5808
96,96,96,CC1CCCCC1,98.18606,374.05,146.35,572.1,3480000.0,0.000369,,2.5866000000000007,32.24899999999998
97,97,97,CC1=CC=CC=C1,92.13842,383.75,179.2,591.75,4108000.0,0.000316,,1.99502,31.17899999999999
98,98,98,CC1=CC=NC=C1,93.12648,418.45,276.48,646.0,4650000.0,0.0003,,1.39002,28.974
99,99,99,C1=CC=C(C=C1)Cl,112.5569,404.75,227.995,633.0,4530000.0,0.000308,,2.34,31.451999999999995
